artist;name
https://data.rkd.nl/artists/10772;Borglum, Gutzon
https://data.rkd.nl/artists/107729;Matta-Clark, Gordon
https://data.rkd.nl/artists/10773;Borgman, Johan
https://data.rkd.nl/artists/107766;Middendorf, John William
https://data.rkd.nl/artists/10779;Borgnis, Giuseppe
https://data.rkd.nl/artists/10781;Bergognone
https://data.rkd.nl/artists/107815;Blaaser, Sam
https://data.rkd.nl/artists/107849;Rusticus, Jaap
https://data.rkd.nl/artists/10794;Borisov-Musatov, Viktor Elpidiforovich
https://data.rkd.nl/artists/108050;Goeij, Miriam de
https://data.rkd.nl/artists/108076;Bleiji, Dirk
https://data.rkd.nl/artists/108083;Böhmers, Wytske Asses
https://data.rkd.nl/artists/108090;Bosch, Cornelis (1888-1967)
https://data.rkd.nl/artists/108118;Rooijen, Ines den
https://data.rkd.nl/artists/108140;Moll, Josh
https://data.rkd.nl/artists/108215;Graaf, Dingeman van der
https://data.rkd.nl/artists/108275;Wieringen-Roetman, Trudy van
https://data.rkd.nl/artists/108294;Pijl, Johannes van der
https://data.rkd.nl/artists/108299;Chabannes la Palice, Jean-Pierre-Charles (Comte de)
https://data.rkd.nl/artists/108309;Pollmann, Josje
https://data.rkd.nl/artists/108315;Oordt-Pompe van Meerdervoort, Catharina M. van
https://data.rkd.nl/artists/108316;Pool, Aagje
https://data.rkd.nl/artists/108322;Posthuma, Elisabeth
https://data.rkd.nl/artists/108328;Priester, Jo
https://data.rkd.nl/artists/108363;Portheine-Rink, Emma
https://data.rkd.nl/artists/108392;Pruyser, Bas
https://data.rkd.nl/artists/108396;Pijper, A.
https://data.rkd.nl/artists/10844;Borromini, Paolo Vincenzo
https://data.rkd.nl/artists/108448;Reihs, Lei
https://data.rkd.nl/artists/108466;Meursinge Reijnders, Geertruid A.
https://data.rkd.nl/artists/108468;Vastrick, Arianne
https://data.rkd.nl/artists/10849;Bors, Wim
https://data.rkd.nl/artists/10858;Borssom, Anthonie van
https://data.rkd.nl/artists/108631;Runeman, Alida Henriëtte
https://data.rkd.nl/artists/10864;Borst, Günther
https://data.rkd.nl/artists/108661;Rogers, Randolph John
https://data.rkd.nl/artists/108717;Katchadourian, Sarkis
https://data.rkd.nl/artists/108734;Cadoret
https://data.rkd.nl/artists/108826;Schakel, Marianna Christina
https://data.rkd.nl/artists/108898;Schets, Anke
https://data.rkd.nl/artists/1089;Alekseev, Aleksandr
https://data.rkd.nl/artists/108996;Schoonhoven van Beurden, Victor R.A.J. van
https://data.rkd.nl/artists/109005;Schram, Wout (1895-1987)
https://data.rkd.nl/artists/109018;Schröder, Louis
https://data.rkd.nl/artists/109023;Schutter, Jan
https://data.rkd.nl/artists/109028;Schuurman, Karel
https://data.rkd.nl/artists/10903;Bos, Coby
https://data.rkd.nl/artists/109038;Schweig, Wiet
https://data.rkd.nl/artists/1091;Master Alejo
https://data.rkd.nl/artists/1091;Meester Alejo
https://data.rkd.nl/artists/109123;Oliveira, Jaap d'
https://data.rkd.nl/artists/109137;Semeijn, Marinus Pieter
https://data.rkd.nl/artists/109139;Severijnen, Cees
https://data.rkd.nl/artists/109164;Spies, Hans
https://data.rkd.nl/artists/109205;Smit, Frederik Hendrik
https://data.rkd.nl/artists/109219;Smit, Joan
https://data.rkd.nl/artists/109258;Slee, Gerard
https://data.rkd.nl/artists/109301;Sijmons, Jan
https://data.rkd.nl/artists/109336;Boelmans ter Spill, Johanna P.
https://data.rkd.nl/artists/10937;Bos, Jantien
https://data.rkd.nl/artists/109381;Steijn, Christiaan
https://data.rkd.nl/artists/109384;Stigter, Jeanne
https://data.rkd.nl/artists/109396;Stoffers, Dick
https://data.rkd.nl/artists/109397;Stokvis, Henk
https://data.rkd.nl/artists/109402;Stracké, Johannes M. Theodorus
https://data.rkd.nl/artists/109415;Sturkenboom, Kees
https://data.rkd.nl/artists/109429;Pau de Saint-Martin, Alexandre
https://data.rkd.nl/artists/109448;Starmans, Piet
https://data.rkd.nl/artists/109653;Horst, Gé ter
https://data.rkd.nl/artists/109659;Tex, Frans den
https://data.rkd.nl/artists/109712;Velde, Henk van der
https://data.rkd.nl/artists/109742;Van der Haeghen
https://data.rkd.nl/artists/109761;Van Hulle, John
https://data.rkd.nl/artists/109803;David d'Angers
https://data.rkd.nl/artists/109856;Verhoek, Joahannes Vernardus L.
https://data.rkd.nl/artists/10986;Bosboom, Simon
https://data.rkd.nl/artists/109883;Verschuer, Astrid van
https://data.rkd.nl/artists/109892;Viergever, Adriaan
https://data.rkd.nl/artists/109895;Vink, Bart
https://data.rkd.nl/artists/109896;Vink, Jan
https://data.rkd.nl/artists/109917;Visser, Jo de
https://data.rkd.nl/artists/110103;Waanders, Willem
https://data.rkd.nl/artists/110105;Waalwijk van Doorn, Loes van
https://data.rkd.nl/artists/110123;Wasch, Hilda Adolphine
https://data.rkd.nl/artists/110172;Demangeon, Louis Albert
https://data.rkd.nl/artists/110206;De Vylder, Paul
https://data.rkd.nl/artists/110208;Weiler, Dorothea Arnoldine von
https://data.rkd.nl/artists/110215;Wensing, Lucas (1869-1939)
https://data.rkd.nl/artists/110225;Westerbrink, Mart
https://data.rkd.nl/artists/110276;Wirtz, Willem
https://data.rkd.nl/artists/110296;Wolff, Abraham
https://data.rkd.nl/artists/1103;Arfian, Antonio de
https://data.rkd.nl/artists/110311;Würth, Alfred Kasper
https://data.rkd.nl/artists/11032;Bosch, Lodewijck van den
https://data.rkd.nl/artists/110328;Post-Zanen, Anna
https://data.rkd.nl/artists/11033;Bosch, Lena ten
https://data.rkd.nl/artists/110348;Zondag, Jet
https://data.rkd.nl/artists/110357;Zuijlen, Jacob van
https://data.rkd.nl/artists/110360;Zuijlen, Plony van
https://data.rkd.nl/artists/110372;Zijl, Maarten van
https://data.rkd.nl/artists/110391;Vries, Henk de (1939-)
https://data.rkd.nl/artists/110399;Verschuur, Leo
https://data.rkd.nl/artists/110402;Sluijter, Leonora Veronica
https://data.rkd.nl/artists/110428;Zeylmans van Emmichoven, Adelbert Johannes
https://data.rkd.nl/artists/110451;Jansen, Yvonne (1957)
https://data.rkd.nl/artists/110463;Vispré, François-Xavier
https://data.rkd.nl/artists/11047;Bosch Reitz, Gijs
https://data.rkd.nl/artists/110515;Anglade, Gaston
https://data.rkd.nl/artists/11055;Bosch, Willem van den
https://data.rkd.nl/artists/110564;Windt, Denis
https://data.rkd.nl/artists/110573;Arcabas
https://data.rkd.nl/artists/110593;Arson, Olympe
https://data.rkd.nl/artists/110684;Middendorp, Suze
https://data.rkd.nl/artists/11074;Böse, Jacqueline
https://data.rkd.nl/artists/11077;Boselli, Felice (I)
https://data.rkd.nl/artists/110781;Muntz, Ninka
https://data.rkd.nl/artists/110830;Kuiper, Josje
https://data.rkd.nl/artists/110881;Susijn, Johannes Josephus
https://data.rkd.nl/artists/110884;Takx, Alex
https://data.rkd.nl/artists/11091;Bosio, Jean François
https://data.rkd.nl/artists/110913;Banguy, Anna de
https://data.rkd.nl/artists/111066;Driessen, Giel
https://data.rkd.nl/artists/111077;Bera, Armand-Philippe-Joseph
https://data.rkd.nl/artists/111111;Icke, Cornelis
https://data.rkd.nl/artists/111166;Leeflang, Chris
https://data.rkd.nl/artists/111172;Leffers, Herman
https://data.rkd.nl/artists/111184;Léoné, Frits
https://data.rkd.nl/artists/111200;Linde, Augustinus van der
https://data.rkd.nl/artists/111226;Berny d'Ouvillé, Claude-Charles-Antoine
https://data.rkd.nl/artists/111269;Kromsigt, Willem
https://data.rkd.nl/artists/111285;Kloot, Jaap
https://data.rkd.nl/artists/111291;Klerks, Niko
https://data.rkd.nl/artists/111299;Kaulbach, Henriette Agnete Kitty von
https://data.rkd.nl/artists/111301;Kasteleijn, Catharina Theodora
https://data.rkd.nl/artists/111328;Jorna, Jac
https://data.rkd.nl/artists/111349;Habold, Jacob
https://data.rkd.nl/artists/111371;Bub-Halewijn, Jeanette
https://data.rkd.nl/artists/111405;Haije, Emma Beatrice
https://data.rkd.nl/artists/111408;Bigot, Georges
https://data.rkd.nl/artists/111455;Hermsen, Kees
https://data.rkd.nl/artists/111456;Hernady, Ferenc László
https://data.rkd.nl/artists/11146;Bosschaert, Abraham
https://data.rkd.nl/artists/111468;Heus, Tom de
https://data.rkd.nl/artists/111480;Heijer, Harry
https://data.rkd.nl/artists/111484;Heijting, Hans
https://data.rkd.nl/artists/111486;Herblot, Margje
https://data.rkd.nl/artists/111488;Berg-Hoefs, Anna Maria van der
https://data.rkd.nl/artists/111489;Hoeffnagel, Herman
https://data.rkd.nl/artists/111505;Hazelhoff, Fred
https://data.rkd.nl/artists/111539;Boisselier, Antoine-Félix
https://data.rkd.nl/artists/111564;Kappé, Wim
https://data.rkd.nl/artists/11167;Bosscher, Madeleine
https://data.rkd.nl/artists/11175;Bosse, Hélène
https://data.rkd.nl/artists/111827;Gramser, Jacques
https://data.rkd.nl/artists/111869;Ghijsels, F.J.L.
https://data.rkd.nl/artists/111908;Pélicier, J.
https://data.rkd.nl/artists/11199;Bossoli, Carlo
https://data.rkd.nl/artists/112032;Al, Chris
https://data.rkd.nl/artists/112039;Ameringen, Bertha van
https://data.rkd.nl/artists/112053;Appelboom, Max
https://data.rkd.nl/artists/112057;Asselbergs, August
https://data.rkd.nl/artists/112115;Hendricks-Reints Bok, Hendrika Hilda
https://data.rkd.nl/artists/112157;Bezembinder, Eduard
https://data.rkd.nl/artists/112162;Bommel, Pieter van
https://data.rkd.nl/artists/11235;Both, Andries
https://data.rkd.nl/artists/112403;Monogrammist J.V.O.H.
https://data.rkd.nl/artists/112570;Durand, Charles
